alpha_account,followed_account,display_name,bio
_0xzhang,CyphrGM,Cyphr,Founder gmDAO Building vibestarterxyz
_0xzhang,ack_onchain,ACK,代理共识表扬 让用户和代理可以给予和接收表扬的链上认可
_0xzhang,vladtenev,Vlad Tenev,CEO and Co-Founder Robinhood
_0xzhang,TheAlkpost,The Alkpost,开放世界踩踏场
_0xzhang,15protocol,Protocol 15,Auditable privacy protocol on solana
_0xzhang,vibestarterxyz,Vibestarter,社区为 vibecoded 应用筹款。用 vibetokens 将创意代币化。基于 Base 构建。
_0xzhang,Noxa_Fi,NOXA,Degen DEX and Launchpad first on new blockchains
_0xzhang,Robinhookv4,RobinHOOK,on-chain objects on RobinhoodApp chain built on Uniswap v4 hook
_0xzhang,pimpiredotfun,Pimpire,A pimping game coming to solana
_0xzhang,4626fun,4626.fun,ERC-4626 Creator Vaults on Base
_0xzhang,joj0xliq,jojo,advisory prev founder
_0xzhang,ChogNFT,Chog,Monad 上构建消费者层
_0xzhang,chogfun,Chog.fun,用 Chog 构建。用 Chog 启动。
_0xzhang,Heistedxyz,Heisted,
_0xzhang,weretuna,Kohei,building addicteddotfun heistedxyz
_0xzhang,robinfunxyz,RobinFun,启动想法。交易叙事。一个市场诞生的代币发射台。
_0xzhang,Robindogenft,Robindogenft,首个 NFT 系列以及基于 Robinhood Chain 的链上市场
_0xzhang,MSX_CN,麦通MSX,RWA 交易平台 链上美股
_0xzhang,BTCBruce1,Bruce J,Bitcoin miner
_0xzhang,memecraftpf,MEMECRAFT,MINE MEMES BUILD BRAINROT
