alpha_account,followed_account,display_name,bio
juesaiquan,bullyvhook,BULLY,$BULLY 是一个 Uniswap v4 模因代币，带有实时反射钩子
juesaiquan,ack_onchain,ACK,代理共识表扬 链上认可
juesaiquan,SOLsesame,sesame,building tapdotfun new pullbattle
juesaiquan,Infectv4,Infect,以太坊 v4 爆发 感染其他钱包并从他们的利润中获利
juesaiquan,symsxyz,SYMS,Building AjiClub
juesaiquan,robinhood_rats,Hood Rats,完全链上像素老鼠殖民地 RobinhoodApp
juesaiquan,DetachedNFT,Detached,Solana NFT collection
juesaiquan,DegenhoodL2,Degenhood,The first mintable token on Robinhood Chain
juesaiquan,bleed_v4,BLEED,$BLEED on Uniswap v4
juesaiquan,aLiiDeez,凌云,链上分析追踪 Alpha News
juesaiquan,Noxa_Fi,NOXA,Degen DEX and Launchpad first on new blockchains
juesaiquan,AmunPhantom,AmunPhantom,building Noxa_Fi
juesaiquan,goyimpnl,7,linktr.ee/goyimpnl
juesaiquan,Troll_,TROLL,Internet culture Solana ecosystem
juesaiquan,Robinhookv4,RobinHOOK,on-chain objects on RobinhoodApp chain built on Uniswap v4 hook
juesaiquan,onchain_goat,Elon Mask,
juesaiquan,RkbhaiCODM,Rkbhai,crypto sports and gaming
juesaiquan,NIKAI_nikai,Nikai,Great version again
juesaiquan,ladymarian_x,Lady Marian,MEV themed Robinhood narrative
juesaiquan,4626fun,4626.fun,ERC-4626 Creator Vaults on Base
