"alpha","handle","name","bio","url","source_url"
"nlgcf69515952","chadmasterxbt","Chad Master","cofounder @opnetbtc @motoswap；个人/项目相关","https://x.com/chadmasterxbt","https://x.com/nlgcf69515952/following"
"nlgcf69515952","Robinhookv4","RobinHOOK","on-chain objects on Robinhood chain；built on Uniswap v4 hook","https://x.com/Robinhookv4","https://x.com/nlgcf69515952/following"
"nlgcf69515952","Robindogenft","Robindogenft","首个 NFT 系列以及基于 Robinhood Chain 的链上市场，即将 stealth launch","https://x.com/Robindogenft","https://x.com/nlgcf69515952/following"
"nlgcf69515952","KUONnft","KUON","久远 | KUON 通往梦境世界的大门开始开启。","https://x.com/KUONnft","https://x.com/nlgcf69515952/following"
"nlgcf69515952","robinfunxyz","RobinFun","启动想法。交易叙事。市场诞生的代币发射台。","https://x.com/robinfunxyz","https://x.com/nlgcf69515952/following"
"nlgcf69515952","bagel_win","Bagel","预测市场；从体育到政治，在 Bagel 上预测。","https://x.com/bagel_win","https://x.com/nlgcf69515952/following"
"nlgcf69515952","donofbase","Don of Base","APAC Social Media Lead @base；个人号","https://x.com/donofbase","https://x.com/nlgcf69515952/following"
"nlgcf69515952","cultureANON","culture","multichain artist / degen","https://x.com/cultureANON","https://x.com/nlgcf69515952/following"
"nlgcf69515952","zhuifei008","追风","BNB/BSC meme alpha 个人号；@RecodeX_AI 联合创始人","https://x.com/zhuifei008","https://x.com/nlgcf69515952/following"
"nlgcf69515952","Ducatstable","Ducat","Bitcoin-native credit and stablecoin protocol","https://x.com/Ducatstable","https://x.com/nlgcf69515952/following"
"nlgcf69515952","Btc_Classic_KOL","Bitcoin-Classic 中文社区","BTCC 中文社区/水龙头/电报群","https://x.com/Btc_Classic_KOL","https://x.com/nlgcf69515952/following"
"nlgcf69515952","AstroKid_Flap","Baby Asteroid","小行星主题 meme 项目","https://x.com/AstroKid_Flap","https://x.com/nlgcf69515952/following"
"nlgcf69515952","LynnChu26","打死都不卖","普通个人号","https://x.com/LynnChu26","https://x.com/nlgcf69515952/following"
"nlgcf69515952","Markets_xyz","Markets","全天候交易股票、大宗商品等，由 @Kinetiq_xyz 支持","https://x.com/Markets_xyz","https://x.com/nlgcf69515952/following"
"nlgcf69515952","Perpsdotfun","Perps.fun","推出永续合约，Hyperliquid/Kinetiq 相关","https://x.com/Perpsdotfun","https://x.com/nlgcf69515952/following"
"nlgcf69515952","Hooknomics","Hooknomics","build tokenomics 2.0","https://x.com/Hooknomics","https://x.com/nlgcf69515952/following"
"nlgcf69515952","DohmFinance","DOHM Finance","programmatic treasury-backed reserve protocol on Alkanes Bitcoin L1","https://x.com/DohmFinance","https://x.com/nlgcf69515952/following"
"nlgcf69515952","zengjiajun_eth","曾嘉俊 Zeng Jiajun","@elytro_eth / cleave；个人号","https://x.com/zengjiajun_eth","https://x.com/nlgcf69515952/following"
"nlgcf69515952","Langerius","LANGERIUS","founder @huntersofweb3；personal alpha/investor","https://x.com/Langerius","https://x.com/nlgcf69515952/following"
"nlgcf69515952","agamafinance","Agama","现实世界资产的借贷网络。","https://x.com/agamafinance","https://x.com/nlgcf69515952/following"
"nlgcf69515952","flovia402","Flovia (x402 & MPP)","AEO 分析工具，适用于 x402/MPP 上的 API；Stripe MPP 竞赛优胜者","https://x.com/flovia402","https://x.com/nlgcf69515952/following"
