"alpha","handle","name","bio","url","source_url"
"unsynned","opnetoshi","opnetoshi","opnet maxi；$moto/$pill 相关个人/alpha 号","https://x.com/opnetoshi","https://x.com/unsynned/following"
"unsynned","ChrisSmiiic","Chris","derivatives trader；OKX 相关个人号","https://x.com/ChrisSmiiic","https://x.com/unsynned/following"
"unsynned","KashKysh","KashKysh","attention trader / alpha 号","https://x.com/KashKysh","https://x.com/unsynned/following"
"unsynned","frankdegods","Frank","DeGods 相关知名个人","https://x.com/frankdegods","https://x.com/unsynned/following"
"unsynned","QuaiNetwork","Quai Network","energy-based money system；较成熟 L1","https://x.com/QuaiNetwork","https://x.com/unsynned/following"
"unsynned","SuiNetwork","Sui","成熟 L1 公链","https://x.com/SuiNetwork","https://x.com/unsynned/following"
"unsynned","Mehdi_Scalify","Mehdi Amrani","Founder Scalify & Kast；个人号","https://x.com/Mehdi_Scalify","https://x.com/unsynned/following"
"unsynned","SeiNetwork","Sei","成熟公链","https://x.com/SeiNetwork","https://x.com/unsynned/following"
"unsynned","TheEwansEffect","Sir Robert","DeFi Economist / alpha 内容号","https://x.com/TheEwansEffect","https://x.com/unsynned/following"
"unsynned","wekruit","WeKruit","帮助抓住机遇；由 @alliance 支持","https://x.com/wekruit","https://x.com/unsynned/following"
"unsynned","LectogramHQ","Lectogram","深入、个性化的关于任何主题的讲座。","https://x.com/LectogramHQ","https://x.com/unsynned/following"
"unsynned","4626fun","4626.fun","ERC-4626 Creator Vaults on Base","https://x.com/4626fun","https://x.com/unsynned/following"
"unsynned","hothandsdotfun","Hot Hands","","https://x.com/hothandsdotfun","https://x.com/unsynned/following"
"unsynned","TokiMakeApp","TokiMake","character illustration + manga creation platform","https://x.com/TokiMakeApp","https://x.com/unsynned/following"
"unsynned","untaxxable","idontpaytaxes","personal/alpha trader；TradingTerminal/ToshiBet","https://x.com/untaxxable","https://x.com/unsynned/following"
"unsynned","robinfunxyz","RobinFun","启动想法。交易叙事。市场诞生的代币发射台。","https://x.com/robinfunxyz","https://x.com/unsynned/following"
"unsynned","ophisfi","Ophis","无物丧失。无物创造。一切皆交易。","https://x.com/ophisfi","https://x.com/unsynned/following"
"unsynned","resettleio","Resettle","决定接下来住在哪里","https://x.com/resettleio","https://x.com/unsynned/following"
"unsynned","Heistedxyz","Heisted","██████████████████████████████████████████","https://x.com/Heistedxyz","https://x.com/unsynned/following"
"unsynned","angelssalesbot","BASED ANGELS SALES BOT","@basedangelsbtc sales bot","https://x.com/angelssalesbot","https://x.com/unsynned/following"
"unsynned","t0AIofficial","t0AI","AI-native finance ops system for books/taxes/expenses/AP/AR/FP&A/close","https://x.com/t0AIofficial","https://x.com/unsynned/following"
"unsynned","ThePatternDelta","Pattern Delta","Audit the Noise. Reclaim the Delta.","https://x.com/ThePatternDelta","https://x.com/unsynned/following"
"unsynned","mondeto","Mondeto","拥有世界。一次一个像素。在 @minipay","https://x.com/mondeto","https://x.com/unsynned/following"
