"alpha","handle","name","bio","url","source_url"
"zizai3ro","PolymarketSport","Polymarket Sports","Polymarket 体育预测，知名项目子账号","https://x.com/PolymarketSport","https://x.com/zizai3ro/following"
"zizai3ro","Troll_","TROLL","互联网文化 | Solana 生态系统 | 原始 trollface IP 支持","https://x.com/Troll_","https://x.com/zizai3ro/following"
"zizai3ro","0xclawlens","ClawCash","AI 代理的信用卡","https://x.com/0xclawlens","https://x.com/zizai3ro/following"
"zizai3ro","ShawnThread","0xShawn","Alpha Hunter；个人 alpha 号","https://x.com/ShawnThread","https://x.com/zizai3ro/following"
"zizai3ro","ladymarian_x","Lady Marian","MEV / Robinhood themed early project","https://x.com/ladymarian_x","https://x.com/zizai3ro/following"
"zizai3ro","Robindogenft","Robindogenft","首个 NFT 系列以及基于 Robinhood Chain 的链上市场，即将 stealth launch","https://x.com/Robindogenft","https://x.com/zizai3ro/following"
"zizai3ro","fxshaw","Frank X. Shaw","Microsoft communications lead，名人/公司高管","https://x.com/fxshaw","https://x.com/zizai3ro/following"
"zizai3ro","outsource_","Eric Building","构建代理工具与框架；Hermes-World / Hermes-Workspace","https://x.com/outsource_","https://x.com/zizai3ro/following"
"zizai3ro","hermesworldai","HermesWorld","THE FIRST AI AGENT MMORPG；$HermesWorld","https://x.com/hermesworldai","https://x.com/zizai3ro/following"
"zizai3ro","avhidotsol","avhi.sol","CTO @ordrtrade；个人开发者","https://x.com/avhidotsol","https://x.com/zizai3ro/following"
"zizai3ro","AgentiQAI","AgentiQ","无需人类即可构建并维护生产环境中的整个初创公司。","https://x.com/AgentiQAI","https://x.com/zizai3ro/following"
"zizai3ro","alifarhat79","Not Jerome Powell","戏仿账号；Memes/Crypto/Finance","https://x.com/alifarhat79","https://x.com/zizai3ro/following"
"zizai3ro","QuantusNetwork","Quantus","Permanent Economic Freedom","https://x.com/QuantusNetwork","https://x.com/zizai3ro/following"
"zizai3ro","EliteGacha","Elite","fee-funded Pokémon raffle protocol；hold $ELITE earn entries","https://x.com/EliteGacha","https://x.com/zizai3ro/following"
"zizai3ro","jiaa770","梦梦","个人号","https://x.com/jiaa770","https://x.com/zizai3ro/following"
"zizai3ro","0xCompl3x","Compl3x","Decentralized brain, centralized chaos","https://x.com/0xCompl3x","https://x.com/zizai3ro/following"
"zizai3ro","retakedottv","Retake.tv","AI memecoins","https://x.com/retakedottv","https://x.com/zizai3ro/following"
"zizai3ro","doodles","doodles","成熟 NFT 项目","https://x.com/doodles","https://x.com/zizai3ro/following"
"zizai3ro","MrsDoodlifts","MrsDoodlifts","普通个人/NFT 个人号","https://x.com/MrsDoodlifts","https://x.com/zizai3ro/following"
"zizai3ro","HeeYeoSoHOT","HeeYeo希予","个人号 / Blink Capital","https://x.com/HeeYeoSoHOT","https://x.com/zizai3ro/following"
"zizai3ro","flovia402","Flovia (x402 & MPP)","AEO 分析工具，适用于 x402/MPP 上的 API；Stripe MPP 竞赛优胜者","https://x.com/flovia402","https://x.com/zizai3ro/following"
"zizai3ro","aztecFND","Aztec Foundation","programmable privacy foundation，知名项目基金会","https://x.com/aztecFND","https://x.com/zizai3ro/following"
