alpha_account,followed_account,description,url,source_url
NotVanGogh88,elisymlabs,"Infrastructure for humans and AI agents.",https://x.com/elisymlabs,https://x.com/NotVanGogh88/following
NotVanGogh88,storyofsaga,"Forgotten Hero story/game themed early project.",https://x.com/storyofsaga,https://x.com/NotVanGogh88/following
NotVanGogh88,GoFundHook,"Crowdfunding project built with v4 hooks.",https://x.com/GoFundHook,https://x.com/NotVanGogh88/following
NotVanGogh88,ChronyxStudios,"Game studio behind Sands of Avalon and upcoming FPS.",https://x.com/ChronyxStudios,https://x.com/NotVanGogh88/following
NotVanGogh88,Heistedxyz,"On-chain heist simulator.",https://x.com/Heistedxyz,https://x.com/NotVanGogh88/following
NotVanGogh88,homecookedx,"Personal sous chef assistant app.",https://x.com/homecookedx,https://x.com/NotVanGogh88/following
NotVanGogh88,Billion_Global,"Live trading and prediction markets app powered by X Layer.",https://x.com/Billion_Global,https://x.com/NotVanGogh88/following
NotVanGogh88,Collectrfun,"Early collecting project account.",https://x.com/Collectrfun,https://x.com/NotVanGogh88/following
NotVanGogh88,Fadestate,"Lossy compression on-chain; transfers damage assets via Token-2022 transfer hooks.",https://x.com/Fadestate,https://x.com/NotVanGogh88/following
NotVanGogh88,DivigentAI,"Treasury layer for x402 agent wallets on Base.",https://x.com/DivigentAI,https://x.com/NotVanGogh88/following
NotVanGogh88,falkordb,"Graph database powering generative AI.",https://x.com/falkordb,https://x.com/NotVanGogh88/following
NotVanGogh88,xoggai,"Connect agents through terminal. Route intent and execute smarter.",https://x.com/xoggai,https://x.com/NotVanGogh88/following
NotVanGogh88,conveyAI,"Early AI project account.",https://x.com/conveyAI,https://x.com/NotVanGogh88/following
NotVanGogh88,crynuxio,"Permissionless trustless k8s on edge AI / decentralized AI.",https://x.com/crynuxio,https://x.com/NotVanGogh88/following
NotVanGogh88,EasyA_Kickstart,"Launch, trade and back early ideas in the EasyA ecosystem.",https://x.com/EasyA_Kickstart,https://x.com/NotVanGogh88/following
NotVanGogh88,0xclawlens,"Credit card for AI agents.",https://x.com/0xclawlens,https://x.com/NotVanGogh88/following
NotVanGogh88,_HypeDao,"Hyperliquid-focused DAO / hype trading project.",https://x.com/_HypeDao,https://x.com/NotVanGogh88/following
