alpha_account,followed_account,description,url,source_url
alphafries,zzznaakkee,"1111 zzznaakkee coming to Ethereum soon. Play snake to get whitelisted. Free mint.",https://x.com/zzznaakkee,https://x.com/alphafries/following
alphafries,TheUnnamedETH,"150 unique identities NFT collection on Ethereum.",https://x.com/TheUnnamedETH,https://x.com/alphafries/following
alphafries,oinkerznft,"10000 greedy pigs about to forage on Ethereum mainnet. 0.001 ETH mint.",https://x.com/oinkerznft,https://x.com/alphafries/following
alphafries,FeatherFi,"Native DEX and deep liquidity layer on Robin. Swap LP and earn.",https://x.com/FeatherFi,https://x.com/alphafries/following
alphafries,NeokitsuneNft,"Limited collection of 777 unique NFTs on Ethereum.",https://x.com/NeokitsuneNft,https://x.com/alphafries/following
alphafries,Bitsies_NFT,"Breaking the code bit by bit. Stealth mint soon.",https://x.com/Bitsies_NFT,https://x.com/alphafries/following
alphafries,kublinseth,"Lil grumpy cubes of the grid. NFT project.",https://x.com/kublinseth,https://x.com/alphafries/following
alphafries,woblobos,"Pixel blobs. Weird vibes. Woblobos. Soon on Ethereum.",https://x.com/woblobos,https://x.com/alphafries/following
alphafries,uglyguysNFT,"Ugly Guys NFT project on Ethereum.",https://x.com/uglyguysNFT,https://x.com/alphafries/following
alphafries,redotools,"Multiplatform on Ethereum coming soon.",https://x.com/redotools,https://x.com/alphafries/following
alphafries,ForgeLending,"Bittensor native money market. Borrow TAO with your Subnet tokens.",https://x.com/ForgeLending,https://x.com/alphafries/following
alphafries,FireFliesMarket,"Frictionless veNFT trading platform.",https://x.com/FireFliesMarket,https://x.com/alphafries/following
alphafries,dynamicmachives,"Machine states project coming to Ethereum.",https://x.com/dynamicmachives,https://x.com/alphafries/following
alphafries,bloomsfi,"Early finance/project account with limited visible bio.",https://x.com/bloomsfi,https://x.com/alphafries/following
alphafries,egglingshl,"Stealth free mint on Ethereum.",https://x.com/egglingshl,https://x.com/alphafries/following
alphafries,Infectv4,"Ethereum v4 outbreak and profit mechanics.",https://x.com/Infectv4,https://x.com/alphafries/following
alphafries,prognosysmarket,"AI prediction markets on Base.",https://x.com/prognosysmarket,https://x.com/alphafries/following
alphafries,SigalSwap,"Privacy-preserving AMM on Aztec L2.",https://x.com/SigalSwap,https://x.com/alphafries/following
alphafries,bleed_v4,"Uniswap v4 related project.",https://x.com/bleed_v4,https://x.com/alphafries/following
alphafries,robinhood_rats,"On-chain pixel rats on Robinhood App chain.",https://x.com/robinhood_rats,https://x.com/alphafries/following
alphafries,rbrc20,"First inscription standard on Robinhood chain.",https://x.com/rbrc20,https://x.com/alphafries/following
alphafries,thearcosai,"Autonomous AI on arc.",https://x.com/thearcosai,https://x.com/alphafries/following
alphafries,rbhd_inscribe,"First on-chain inscriptions on Robinhood App chain.",https://x.com/rbhd_inscribe,https://x.com/alphafries/following
