alpha_account,followed_account,description,url,source_url
xeogy92298766,wordbankgame,"Fully on-chain permissionless game collectible on Ethereum backed by Uniswap v4 liquidity.",https://x.com/wordbankgame,https://x.com/xeogy92298766/following
xeogy92298766,Heistedxyz,"On-chain heist simulator.",https://x.com/Heistedxyz,https://x.com/xeogy92298766/following
xeogy92298766,MRCYsupply,"Liquid metal mined on HyperEVM.",https://x.com/MRCYsupply,https://x.com/xeogy92298766/following
xeogy92298766,Robindogenft,"First NFT collection and on-chain market built on Robinhood Chain.",https://x.com/Robindogenft,https://x.com/xeogy92298766/following
xeogy92298766,echonv4,"ECHO on Uniswap v4. Buy reflect reset restart; every swap leaves a trace.",https://x.com/echonv4,https://x.com/xeogy92298766/following
xeogy92298766,ambient_xyz,"PoW L1 for hyperscale verified inference for large AI models.",https://x.com/ambient_xyz,https://x.com/xeogy92298766/following
xeogy92298766,mondeto,"Own the world one pixel at a time on MiniPay.",https://x.com/mondeto,https://x.com/xeogy92298766/following
xeogy92298766,nav_certs,"NAV token and ERC-721 certs where idle balances decay and art reflects wallet state.",https://x.com/nav_certs,https://x.com/xeogy92298766/following
xeogy92298766,Ask_CarpeDiem,"Decentralized market for DIEM inference quota, launching in June.",https://x.com/Ask_CarpeDiem,https://x.com/xeogy92298766/following
xeogy92298766,DackieSwap,"Meta-aggregator DEX for better DeFi swap execution.",https://x.com/DackieSwap,https://x.com/xeogy92298766/following
xeogy92298766,Capminal,"AI terminal with perpetual AI compute, DeFAI agent, and smart tokenization.",https://x.com/Capminal,https://x.com/xeogy92298766/following
xeogy92298766,pulsev4hook,"PULSE Uniswap v4 hook where every swap is a heartbeat.",https://x.com/pulsev4hook,https://x.com/xeogy92298766/following
xeogy92298766,useflashpoint,"Real-time edge for crypto markets.",https://x.com/useflashpoint,https://x.com/xeogy92298766/following
xeogy92298766,sa1tdotfun,"Launch tokens with built-in Uniswap v4 hook mechanics.",https://x.com/sa1tdotfun,https://x.com/xeogy92298766/following
xeogy92298766,emergent_inc,"Emergent Computing early project account.",https://x.com/emergent_inc,https://x.com/xeogy92298766/following
xeogy92298766,rialto_xyz,"Capital markets rebuilt on-chain.",https://x.com/rialto_xyz,https://x.com/xeogy92298766/following
xeogy92298766,secondhq,"Developer solution for integrating Bitcoin payments using Lightning, Ark and on-chain.",https://x.com/secondhq,https://x.com/xeogy92298766/following
xeogy92298766,Cell_v4,"CARN-20 carnivorous token that earns ETH and eats nearby holders.",https://x.com/Cell_v4,https://x.com/xeogy92298766/following
xeogy92298766,spectrumindexes,"One-click access to on-chain ecosystems built on Prism.",https://x.com/spectrumindexes,https://x.com/xeogy92298766/following
xeogy92298766,qntxdotfun,"Economic layer for AI agents on Base.",https://x.com/qntxdotfun,https://x.com/xeogy92298766/following
