message_id,datetime_utc,alpha,project,x_account
dodtwitterbot/8006,2026-06-16T04:32:09+00:00,阿宏,Nonce.Fun,noncedotfun
dodtwitterbot/8007,2026-06-16T04:36:43+00:00,发誓要做永赚大师,0xSwen,SwenChan
dodtwitterbot/8008,2026-06-16T04:41:35+00:00,CCcheer,LEMORION,lemorion1224
dodtwitterbot/8009,2026-06-16T04:43:11+00:00,CCcheer,HAGANEIRO,haganeiro_fn
dodtwitterbot/8010,2026-06-16T04:44:52+00:00,蛋总,01,zero1cash
dodtwitterbot/8011,2026-06-16T05:05:46+00:00,蛋总,ClawdOS,ClawdOS
dodtwitterbot/8012,2026-06-16T05:18:33+00:00,蛋总,爱理财的小羊FAN,ocggci
dodtwitterbot/8013,2026-06-16T05:36:02+00:00,发财猪,打死都不卖,LynnChu26
dodtwitterbot/8014,2026-06-16T05:39:08+00:00,发财猪,Baby Asteroid,AstroKid_Flap
dodtwitterbot/8015,2026-06-16T05:50:12+00:00,Mutu,RocX,RocX_official
dodtwitterbot/8016,2026-06-16T05:53:29+00:00,阿宏,Feather Robotics,featherrobotics
dodtwitterbot/8017,2026-06-16T05:53:29+00:00,阿宏,SHOW ROBOTICS,SHOW_ROBOTICS
dodtwitterbot/8018,2026-06-16T05:53:29+00:00,阿宏,Caspius,caspius_ai
dodtwitterbot/8019,2026-06-16T05:53:30+00:00,阿宏,REK,REK
dodtwitterbot/8020,2026-06-16T06:16:19+00:00,BearzVerse,ChessArena,ChessArenaSol
dodtwitterbot/8021,2026-06-16T06:17:58+00:00,阿宏,Luciano DeAngelo,lucianodeangeIo
dodtwitterbot/8022,2026-06-16T06:28:11+00:00,AlphaFries,Onchain Guppies,Guppies_nft
dodtwitterbot/8023,2026-06-16T06:28:11+00:00,AlphaFries,Pay.meme,Paymeme_
dodtwitterbot/8024,2026-06-16T06:29:44+00:00,AlphaFries,Origin,OriginLaunchpad
dodtwitterbot/8025,2026-06-16T06:32:50+00:00,蛋总,grantr,grantr_id
