message_id,datetime_utc,alpha,project,x_account
dodtwitterbot/8298,2026-06-17T16:10:33+00:00,自在,TROLL,Troll_
dodtwitterbot/8299,2026-06-17T16:17:31+00:00,AlphaFries,RobinHOOK,Robinhookv4
dodtwitterbot/8300,2026-06-17T16:19:46+00:00,蛋总,Screen Charm,ScreenCharm
dodtwitterbot/8301,2026-06-17T16:22:47+00:00,zyy,Robindogenft,Robindogenft
dodtwitterbot/8306,2026-06-17T16:42:24+00:00,AlphaFries,Fixels,Fixels_ETH
dodtwitterbot/8307,2026-06-17T17:07:22+00:00,ibrax,Lectogram,LectogramHQ
dodtwitterbot/8309,2026-06-17T17:14:52+00:00,.✦ ݁˖ 🟣,Lectogram,LectogramHQ
dodtwitterbot/8310,2026-06-17T17:14:52+00:00,.✦ ݁˖ 🟣,4626.fun,4626fun
dodtwitterbot/8311,2026-06-17T17:14:52+00:00,.✦ ݁˖ 🟣,Hot Hands,hothandsdotfun
dodtwitterbot/8312,2026-06-17T17:54:21+00:00,AlphaFries,voidpad,voidpadv4
