project,x_account,total_mentions,unique_alphas,first_seen_utc,last_seen_utc,status
4626.fun,4626fun,4,4,2026-06-17T09:24:20+00:00,2026-06-17T17:14:52+00:00,priority
Robinhook,RobinhookApp,4,4,2026-06-15T15:14:35+00:00,2026-06-15T16:17:21+00:00,priority
eiDotter,eiDotterSystem,3,3,2026-06-15T15:11:24+00:00,2026-06-15T15:16:10+00:00,priority
TCG Arena,PlayTCGArena,3,3,2026-06-17T08:09:35+00:00,2026-06-17T08:29:14+00:00,priority
WordBank,wordbankgame,3,3,2026-06-17T10:15:50+00:00,2026-06-17T10:27:36+00:00,priority
0xSwen,SwenChan,2,2,2026-06-15T15:37:47+00:00,2026-06-16T04:36:43+00:00,watch
ACK,ack_onchain,2,2,2026-06-17T07:12:21+00:00,2026-06-17T07:13:45+00:00,watch
ClawCash,0xclawlens,2,2,2026-06-17T10:08:33+00:00,2026-06-17T11:06:43+00:00,watch
Dave Stacey,davestacey,2,2,2026-06-15T15:11:24+00:00,2026-06-15T15:11:25+00:00,watch
Heisted,Heistedxyz,2,2,2026-06-16T16:56:14+00:00,2026-06-17T08:02:30+00:00,watch
Lectogram,LectogramHQ,2,2,2026-06-17T17:07:22+00:00,2026-06-17T17:14:52+00:00,watch
MrsDoodlifts,MrsDoodlifts,2,2,2026-06-15T15:56:28+00:00,2026-06-15T15:56:29+00:00,watch
Robindogenft,Robindogenft,2,2,2026-06-16T16:41:17+00:00,2026-06-17T16:22:47+00:00,watch
Takeover Bot,takeoverbot,2,2,2026-06-17T11:06:43+00:00,2026-06-17T11:09:44+00:00,watch
tmoney_145,tmoney_145,2,2,2026-06-17T07:12:54+00:00,2026-06-17T07:13:44+00:00,watch
Vlad Tenev,vladtenev,2,2,2026-06-16T16:47:24+00:00,2026-06-17T07:06:06+00:00,watch
01,zero1cash,1,1,2026-06-16T04:44:52+00:00,2026-06-16T04:44:52+00:00,watch
4ndation,4ndation,1,1,2026-06-17T07:59:43+00:00,2026-06-17T07:59:43+00:00,watch
爱理财的小羊FAN,ocggci,1,1,2026-06-16T05:18:33+00:00,2026-06-16T05:18:33+00:00,watch
打死都不卖,LynnChu26,1,1,2026-06-16T05:36:02+00:00,2026-06-16T05:36:02+00:00,watch
韭菜爱刀子,wesley_wlowry85,1,1,2026-06-17T07:15:12+00:00,2026-06-17T07:15:12+00:00,watch
a402,a402finance,1,1,2026-06-17T07:06:50+00:00,2026-06-17T07:06:50+00:00,watch
AFK Studio,afkstudi0,1,1,2026-06-19T06:48:38+00:00,2026-06-19T06:48:38+00:00,watch
ambient.xyz,ambient_xyz,1,1,2026-06-15T16:21:46+00:00,2026-06-15T16:21:46+00:00,watch
Aomi,aomidev,1,1,2026-06-17T11:12:46+00:00,2026-06-17T11:12:46+00:00,watch
APLP Teacher Education,APLPteach,1,1,2026-06-15T15:11:25+00:00,2026-06-15T15:11:25+00:00,watch
Baby Asteroid,AstroKid_Flap,1,1,2026-06-16T05:39:08+00:00,2026-06-16T05:39:08+00:00,watch
BaseBoredClub,baseboredclub,1,1,2026-06-17T07:37:43+00:00,2026-06-17T07:37:43+00:00,watch
BDG,BangDG2,1,1,2026-06-15T16:17:23+00:00,2026-06-15T16:17:23+00:00,watch
Bitcoin-Classic,Btc_Classic_KOL,1,1,2026-06-16T16:33:48+00:00,2026-06-16T16:33:48+00:00,watch
Bounty,PumpBountyBot,1,1,2026-06-17T11:05:12+00:00,2026-06-17T11:05:12+00:00,watch
Bryan Lim,bryanlimwt,1,1,2026-06-16T16:32:26+00:00,2026-06-16T16:32:26+00:00,watch
BYD,BYDCompany,1,1,2026-06-16T16:32:26+00:00,2026-06-16T16:32:26+00:00,watch
Caspius,caspius_ai,1,1,2026-06-16T05:53:29+00:00,2026-06-16T05:53:29+00:00,watch
ChessArena,ChessArenaSol,1,1,2026-06-16T06:16:19+00:00,2026-06-16T06:16:19+00:00,watch
Chris Osborne,KintuLabs,1,1,2026-06-16T17:46:35+00:00,2026-06-16T17:46:35+00:00,watch
ClawdOS,ClawdOS,1,1,2026-06-16T05:05:46+00:00,2026-06-16T05:05:46+00:00,watch
Cournot Protocol,CournotProtocol,1,1,2026-06-19T06:58:04+00:00,2026-06-19T06:58:04+00:00,watch
Croak City,croakcity,1,1,2026-06-19T07:36:00+00:00,2026-06-19T07:36:00+00:00,watch
culture,cultureANON,1,1,2026-06-17T09:05:48+00:00,2026-06-17T09:05:48+00:00,watch
Don of Base,donofbase,1,1,2026-06-17T10:23:09+00:00,2026-06-17T10:23:09+00:00,watch
Doodles,doodles,1,1,2026-06-15T15:56:28+00:00,2026-06-15T15:56:28+00:00,watch
Ducat,Ducatstable,1,1,2026-06-16T18:05:50+00:00,2026-06-16T18:05:50+00:00,watch
eggz,eggzbase,1,1,2026-06-17T10:31:55+00:00,2026-06-17T10:31:55+00:00,watch
Elisym Labs,elisymlabs,1,1,2026-06-19T05:03:04+00:00,2026-06-19T05:03:04+00:00,watch
EVO,EVO__HQ,1,1,2026-06-16T16:59:13+00:00,2026-06-16T16:59:13+00:00,watch
Feather Robotics,featherrobotics,1,1,2026-06-16T05:53:29+00:00,2026-06-16T05:53:29+00:00,watch
FeatherFi,FeatherFi,1,1,2026-06-19T06:37:22+00:00,2026-06-19T06:37:22+00:00,watch
Fixels,Fixels_ETH,1,1,2026-06-17T16:42:24+00:00,2026-06-17T16:42:24+00:00,watch
Flovia,flovia402,1,1,2026-06-15T15:31:35+00:00,2026-06-15T15:31:35+00:00,watch
Frank X. Shaw,fxshaw,1,1,2026-06-17T07:06:50+00:00,2026-06-17T07:06:50+00:00,watch
Go Fund Hook,GoFundHook,1,1,2026-06-16T17:51:01+00:00,2026-06-16T17:51:01+00:00,watch
grantr,grantr_id,1,1,2026-06-16T06:32:50+00:00,2026-06-16T06:32:50+00:00,watch
HAGANEIRO,haganeiro_fn,1,1,2026-06-16T04:43:11+00:00,2026-06-16T04:43:11+00:00,watch
HeeYeo希予,HeeYeoSoHOT,1,1,2026-06-15T15:37:47+00:00,2026-06-15T15:37:47+00:00,watch
Hermes One,HermesOneApp,1,1,2026-06-16T17:26:35+00:00,2026-06-16T17:26:35+00:00,watch
Hot Hands,hothandsdotfun,1,1,2026-06-17T17:14:52+00:00,2026-06-17T17:14:52+00:00,watch
Huawei,Huawei,1,1,2026-06-16T16:32:18+00:00,2026-06-16T16:32:18+00:00,watch
